name,resource,lat,lon
El Romero Solar,solar,-28.30,-70.92
Cerro Dominador,solar,-22.76,-69.47
Bolero,solar,-22.93,-69.30
Luz del Norte,solar,-27.40,-70.30
Quilapilun,solar,-33.00,-70.70
Canela,eolic,-31.43,-71.47
El Arrayan,eolic,-30.65,-71.60
San Juan,eolic,-28.50,-71.00
Sierra Gorda Este,eolic,-22.90,-69.30
Negrete Cuel,eolic,-37.58,-72.55
